Data,Profissional,Serviço,Cliente,Valor
255,4,156,164,80
255,4,154,164,35
255,4,173,164,65
255,6,173,458,58
255,1,168,458,120
255,5,236,458,45
255,3,163,35,155
255,2,181,0,0
255,6,175,197,55
255,5,240,35,20
255,2,175,197,45
255,3,235,164,27
255,5,232,6,15
255,6,175,6,55
255,6,154,6,40
256,5,236,522,45
256,2,210,522,310
256,3,236,324,45
256,6,173,324,65
256,6,173,404,65
256,3,235,164,27
257,5,236,560,45
257,6,211,0,0
257,4,173,164,65
257,4,154,164,35
257,4,168,164,120
257,6,163,433,155
257,6,209,433,175
257,5,235,433,27
257,3,236,498,45
257,5,236,659,45
257,1,168,659,120
257,3,235,229,27
258,5,235,85,27
258,5,235,337,27
258,6,163,331,155
258,5,236,339,45
258,4,156,339,90
258,4,181,0,0
258,5,235,116,27
258,1,245,568,50
258,2,173,584,65
258,5,235,584,27
258,2,154,584,35
258,2,163,584,230
259,5,236,7,45
259,1,168,146,120
259,4,188,146,100
259,1,175,146,65
259,6,173,244,65
259,5,235,244,27
259,6,156,569,90
259,3,235,569,27
259,6,181,0,0
259,6,154,244,35
259,5,235,533,27
259,5,235,27,27
259,4,210,193,250
259,3,236,372,45
259,6,211,0,0
262,5,236,522,45
262,1,176,146,45
262,2,163,409,155
262,5,236,39,45
262,4,175,39,146
262,3,236,211,45
262,2,211,0,0
262,3,232,576,15
262,4,154,164,35
262,4,173,164,65
262,5,235,219,22
262,3,238,219,22
262,3,232,164,15
263,3,236,215,45
263,5,236,197,45
263,2,175,197,55
263,6,173,535,70
263,1,181,0,0
263,5,236,535,45
263,5,236,290,45
264,5,238,658,27
264,2,163,658,175
264,2,181,0,0
264,1,168,658,120
264,1,230,658,39
264,5,235,324,27
264,6,173,324,65
264,1,168,576,120
264,1,245,576,50
264,5,236,481,45
264,6,211,0,0
264,1,245,258,50
264,1,200,258,60
264,5,236,630,45
264,5,235,631,27
264,1,245,290,50
264,5,236,290,45
265,4,173,164,65
265,4,154,164,35
265,2,217,6,175
265,5,235,6,27
265,5,231,6,20
265,5,235,116,27
265,5,236,624,45
265,5,231,624,20
265,6,163,624,250
265,3,236,348,45
265,3,239,348,35
265,5,232,164,15
265,5,236,160,45
265,1,245,160,50
266,2,176,146,45
266,1,168,170,95
266,3,236,251,45
266,4,195,170,25
266,5,236,513,45
266,2,173,569,65
266,3,235,569,27
266,2,154,569,35
266,5,236,375,45
266,5,235,244,27
266,6,173,244,65
266,3,236,231,45
266,6,154,244,40
266,1,245,244,50
266,1,168,448,95
266,4,154,448,40
266,4,195,448,25
266,1,245,448,50
266,3,231,448,20
266,3,235,448,27
266,3,236,659,45
266,5,235,584,27
266,6,173,584,65
266,6,154,584,35
266,4,211,0,0
266,3,232,290,15
269,2,156,164,80
269,2,173,164,65
269,2,154,164,35
269,5,236,640,45
269,6,163,640,175
269,6,208,640,195
269,5,235,328,27
270,1,176,146,45
270,5,236,287,45
270,4,170,97,60
270,5,236,183,45
270,5,230,183,39
272,3,236,251,45
272,2,211,0,0
272,3,236,251,45
272,5,236,216,45
272,1,202,216,550
272,5,236,160,45
