Nome,Categoria,Fabricante,Código de Identificação,É para revenda,Preço (R$),Preço de revenda profissional (R$),% Comissão,Unidade de medida,Medidas por unidade,Preço por medidas (R$),Código de barras,Status,Valor De Compra (R$)
Condicionador Keune You,Condicionador,Keune,,Não,0,,,,,,,,
B-Free,Finalizador,Takae Sazaki,,Sim,149,,,,,,,,
Condicionador vital Nutrition,Condicionador,Keune,,Não,0,,,,,,,,
Deep,Reconstructor,Takae Sazaki,,Sim,149,,,,,,,,
Detox Sache,Detox,Takae Sazaki,,Sim,15,,,,,,,,
DPG Active,Tônico,Takae Sazaki,,Sim,305,,,,,,,,
Keune you,Shampoo,Keune,,Não,0,,,,,,,,
LAPIS DERMATOGRÁFICO,MAQUIAGEM,MITSUBISHI,,Sim,35,,,,,,,,
Mascara Keratin,Tratamento,Keune,,Não,0,,,,,,,,
Mascara keune SPA,Tratamento,Keune,,Não,0,,,,,,,,
OMGoil,Finalizador,Takae Sazaki,,Sim,152,,,,,,,,
PSCalm,Boster,Takae Sazaki,,Sim,123,,,,,,,,
Senscience Purify Shampoo 1 Litro,Shampoo,Senscience,,Não,0,,,,,,,,
Senscience SILK MOISTURE CONDICIONADOR 1l,Condicionador,Senscience,,Não,0,,,,,,,,
Thermal Clean,Higienizador de cabelo,Takae Sazaki,,Sim,139,,,,,,,,
Vital  Nutrition,Shampoo,Keune,,Não,0,,,,,,,,
Vital Nutrion,Condicionador,Keune,,Não,0,,,,,,,,
"Vital Nutrion;""Condicionador"";""Keune"";"""";""Não"";""0","00"";""0","00"";""0","00"";""UN"";"""";"""";"""";""Ativo"";""210","00""",,,,,,,,,
