Nome;Preço Padrão
Aplicação de cílios;20
#NOME?;
#NOME?;40
Aplicação de Coloração do cliente raiz;80
Aplicação de Coloração total do cliente;150
Aplicação de Henna nos Fios;100
BABYLISS  G;55
BABYLISS  GG;65
BABYLISS  P;40
Coloração Inoa;
Coloração Keune;155
Coloração Keune Ruivo;185
Corte - Franja;40
Corte a Máquina;50
Corte Bordado;150
Corte FEMININO;120
Corte Infantil;60
Corte Masculino;60
Decapagem / Descoloração;
Escova e Prancha;
Escova G;65
Escova GG;85
Escova M;55
Escova P;45
Escova+ PRANCHA  GG;100
Escova+ PRANCHA  M;
Escova+ PRANCHA  P;75
hidratação Muzza;
Hidratação Senscience;Cuidados com Cabelo
Hidratação Senscience;Cuidados com Cabelo
Hidratação Senscience;Cuidados com Cabelo
Hidratação Senscience;Cuidados com Cabelo
Hidratação Takae G;185
Hidratação Takae GG;205
Hidratação Takae M;175
Hidratação Takae P;165
Hidratação Wella;125
Higienização;0
Keune Vegana;175
Lavar e Secar G;55
Lavar e Secar GG;90
Lavar e Secar M;45
Lavar e Secar P;35
LAVAR;Preço Fixo
LAVAR+SECAR+BABYLISS;120
MATIZAÇÃO G;100
MATIZAÇÃO GG;120
MATIZAÇÃO M;90
MATIZAÇÃO P;80
Mechas;550
Mechas Californianas;0
Mechas Invertidas;
Modelar pontas;20
Nutrição KEUNE YOU G;200
Nutrição KEUNE YOU GG;225
Nutrição KEUNE YOU M;185
Nutrição KEUNE YOU P;175
Realinhamento Capilar Salvatore;
Reconstrução JOICO K-PAK;Preço Fixo
Reconstrução JOICO K-PAK;Preço Fixo
Reconstrução JOICO K-PAK;Preço Fixo
Reconstrução JOICO K-PAK;Preço Fixo
Strong;0
Terapia Capilar com ozonio;235
Terapia Capilar pacote;157
TRATAMENTO INSTANTÂNEO G;75
TRATAMENTO INSTANTÂNEO GG;85
TRATAMENTO INSTANTÂNEO M;65
TRATAMENTO INSTANTÂNEO P;60
Alongamento em gel Molde F-1;180
Alongamento Soft Gel;150
Banho em Gel;120
Blindagem;80
Manicure - Gel top gloss;35
Manutenção Banho em Gel;90
Manutenção Soft Gel;120
Postiça Realista;100
Base;
Esmaltação  - ESPECIAL;7
Esmaltação - Mãos;15
Esmaltação - Pés;15
LIXAR PÉS;10
Manicure;27
Manicure e Pedicure;45
Manicure e Pedicure - Francesinha;5
Pedicure;27
SPA de pés;35
Top Coat em gel;
Unha de Gel - Manutenção;50
Maquiagem  SOCIAL;200
BABYLISS M;50
Penteado;180
Design de Sobrancelha;50
Pintura Sobrancelhas - Henna;60
Pintura Sobrancelhas com Refectocil;60
